pos,word
অব্যয়,ঁ
বিশেষণ,অংশাঙ্কিত
বিশেষ্য,অংশাবতার
বিশেষণ,অংশী
বিশেষ্য,অংশীদার
বিশেষ্য,অংশু
বিশেষণ,অংশ্যমান
বিশেষ্য,অংস
বিশেষণ,অঋণী
বিশেষণ,অকচ
বিশেষণ,অকঞ্চুক
বিশেষ্য,অকটবিকট
বিশেষণ,অকঠিন
বিশেষণ,অকঠোর
বিশেষ্য,অকথন
বিশেষ্য,অকথা
বিশেষণ,অকথিত
বিশেষণ,অকন্টক
বিশেষণ,অকপট
বিশেষণ,অকর
বিশেষ্য,অকরণ
বিশেষ্য,অকরণী
বিশেষণ,অকরুণ
বিশেষণ,অকর্ণ
বিশেষণ,অকর্তব্য
বিশেষণ,অকলঙ্ক
বিশেষ্য,অকলুষ
বিশেষণ,অকল্পিত
বিশেষণ,অকল্মষ
বিশেষ্য,অকল্যাণ
বিশেষণ,অকষ্ট
বিশেষ্য,অকষ্টকল্পনা
বিশেষণ,অকষ্টবদ্ধ
অব্যয়,অকস্মাত্
বিশেষ্য,অকাজ
বিশেষণ,অকাট্য
বিশেষ্য,অকাণ্ড
বিশেষণ,অকাতর
বিশেষণ,অকাম
বিশেষ্য,অকার
বিশেষণ,অকারণ
বিশেষণ,অকারান্ত
বিশেষ্য,অকার্য
বিশেষ্য,অকাল
বিশেষ্য,অকালি
বিশেষণ,অকায়
বিশেষণ,অকিঞ্চন
বিশেষ্য,অকীক
বিশেষ্য,অকীর্তি
বিশেষ্য,অকু
বিশেষণ,অকুতোভয়
বিশেষণ,অকুব
বিশেষ্য,অকুল
বিশেষণ,অকুলীন
বিশেষ্য,অকুশল
বিশেষ্য,অকূপার
বিশেষণ,অকূল
বিশেষণ,অকৃত
বিশেষণ,অকৃতজ্ঞ
বিশেষণ,অকৃতদার
বিশেষণ,অকৃতাপরাধ
বিশেষণ,অকৃতার্থ
বিশেষণ,অকৃতী
বিশেষণ,অকৃতোদ্বাহ
বিশেষণ,অকৃত্য
বিশেষণ,অকৃত্রিম
বিশেষণ,অকৃপণ
বিশেষণ,অকৃষ্ট
বিশেষণ,অকেজো
বিশেষণ,অকৈতব
বিশেষ্য,অকৌশল
বিশেষ্য,অক্কা
বিশেষ্য,অক্টোপাস
বিশেষ্য,অক্টোবর
বিশেষণ,অক্ত
বিশেষ্য,অক্রম
বিশেষণ,অক্রিয়
বিশেষ্য,অক্রিয়া
বিশেষণ,অক্রূর
বিশেষণ,অক্রেয়
বিশেষ্য,অক্রোধ
বিশেষণ,অক্লান্ত
বিশেষণ,অক্লিষ্ট
বিশেষ্য,অক্লেশ
বিশেষ্য,অক্ষ
বিশেষ্য,অক্ষটি
বিশেষণ,অক্ষত
বিশেষণ,অক্ষম
বিশেষ্য,অক্ষর
বিশেষ্য,অক্ষাংশ
বিশেষ্য,অক্ষান্তি
বিশেষণ,অক্ষার
বিশেষ্য,অক্ষি
বিশেষণ,অক্ষীয়
বিশেষণ,অক্ষুণ্ণ
বিশেষণ,অক্ষুব্ধ
বিশেষণ,অক্ষোভ
বিশেষ্য,অক্ষৌহিণী
বিশেষণ,অক্ষয়
বিশেষ্য,অক্সিজেন
বিশেষণ,অখণ্ড
বিশেষণ,অখদ্যে
অব্যয়,অখন
বিশেষণ,অখনতখন
বিশেষণ,অখল
বিশেষণ,অখাত
বিশেষণ,অখাদ্য
বিশেষণ,অখিল
বিশেষণ,অখুশি
বিশেষণ,অখ্যাত
বিশেষণ,অগ
বিশেষ্য,অগড়বগড়
বিশেষণ,অগতি
বিশেষণ,অগদ
বিশেষণ,অগন্তব্য
বিশেষণ,অগভীর
বিশেষণ,অগম
বিশেষণ,অগম্য
বিশেষণ,অগম্যা
বিশেষণ,অগাধ
বিশেষ্য,অগুণ
বিশেষ্য,অগুরু
বিশেষণ,অগোচর
বিশেষণ,অগোছালো
বিশেষ্য,অগোপন
বিশেষ্য,অগোর
বিশেষ্য,অগৌণ
বিশেষ্য,অগৌরব
বিশেষ্য,অগ্নায়ী
বিশেষ্য,অগ্নি
বিশেষ্য,অগ্ন্যাধান
বিশেষ্য,অগ্ন্যাশয়
বিশেষ্য,অগ্ন্যাস্ত্র
বিশেষ্য,অগ্ন্যুত্পাত
বিশেষ্য,অগ্ন্যুত্সব
বিশেষ্য,অগ্র
বিশেষ্য,অগ্রহণ
বিশেষণ,অগ্রহণীয়
বিশেষ্য,অগ্রহায়ণ
বিশেষ্য,অগ্রাধিকার
বিশেষণ,অগ্রাহ্য
বিশেষণ,অগ্রিম
বিশেষণ,অগ্র্য
বিশেষ্য,অঘ
বিশেষ্য,অঘটন
বিশেষণ,অঘটনঘটনপটীয়সী
বিশেষ্য,অঘর
বিশেষ্য,অঘাট
বিশেষ্য,অঘাসূর
বিশেষণ,অঘোর
বিশেষণ,অঘোষ
বিশেষণ,অঘ্রাত
বিশেষ্য,অঙ্ক
বিশেষ্য,অঙ্কন
বিশেষণ,অঙ্কিত
বিশেষণ,অঙ্কী
বিশেষণ,অঙ্কীয়
বিশেষ্য,অঙ্কুট
বিশেষ্য,অঙ্কুর
বিশেষণ,অঙ্কুরিত
বিশেষ্য,অঙ্কুশ
অব্যয়,অঙ্কোপরি
বিশেষ্য,অঙ্গ
বিশেষ্য,অঙ্গদ
বিশেষ্য,অঙ্গনা
বিশেষ্য,অঙ্গাঙ্গি
বিশেষ্য,অঙ্গাবরণ
বিশেষ্য,অঙ্গার
বিশেষ্য,অঙ্গিরা
বিশেষণ,অঙ্গী
বিশেষ্য,অঙ্গীকরণ
বিশেষ্য,অঙ্গীকার
বিশেষণ,অঙ্গীভূত
বিশেষ্য,অঙ্গুলি
বিশেষ্য,অঙ্গুষ্ঠ
বিশেষ্য,অঙ্ঘ্রি
বিশেষণ,অচক্ষু
বিশেষণ,অচঞ্চল
বিশেষণ,অচতুর
বিশেষণ,অচর
বিশেষণ,অচরিতার্থ
বিশেষণ,অচর্চিত
বিশেষণ,অচর্বনীয়
বিশেষণ,অচর্বিত
বিশেষণ,অচল
বিশেষ্য,অচাঞ্চল্য
বিশেষ্য,অচালন
বিশেষ্য,অচিকিত্সা
বিশেষ্য,অচিকির্ষা
বিশেষণ,অচির
বিশেষণ,অচিহ্নিত
বিশেষণ,অচেত
বিশেষণ,অচেষ্ট
বিশেষ্য,অচেষ্টা
বিশেষণ,অচ্ছ
বিশেষণ,অচ্ছদ
বিশেষণ,অচ্ছিদ্র
বিশেষণ,অচ্ছিন্ন
বিশেষণ,অচ্ছেদনীয়
বিশেষণ,অচ্ছেদ্য
বিশেষণ,অচ্ছোদ
বিশেষণ,অচ্যুত
বিশেষণ,অছি
বিশেষ্য,অছিলা
বিশেষ্য,অছিয়তনামা
বিশেষণ,অজ
বিশেষ্য,অজগর
বিশেষণ,অজচ্ছল
বিশেষণ,অজজীবক
বিশেষণ,অজন্ত
বিশেষ্য,অজন্মা
বিশেষ্য,অজপা
বিশেষ্য,অজবীথি
বিশেষ্য,অজমীঢ়
বিশেষণ,অজর
বিশেষণ,অজস্র
বিশেষ্য,অজাগলস্তন
বিশেষণ,অজাত
বিশেষ্য,অজামিল
বিশেষণ,অজিজ্ঞাসু
বিশেষণ,অজিত
বিশেষণ,অজিতেন্দ্রিয়
বিশেষ্য,অজিন
বিশেষ্য,অজিফা
বিশেষণ,অজিহ্ব
বিশেষণ,অজীবিক
বিশেষণ,অজীর্ণ
বিশেষ্য,অজুরদার
বিশেষ্য,অজুহাত
বিশেষণ,অজেয়
বিশেষণ,অজৈব
বিশেষণ,অজ্ঞ
বিশেষণ,অজ্ঞাত
